Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
USB,,Kingston,DT 101 II 4GB,571,5.24,204,http://usb.userbenchmark.com/SpeedTest/5919/Kingston-DT-101-II
USB,,hp,v165w 4GB,572,5.24,115,http://usb.userbenchmark.com/SpeedTest/5911/hp-v165w
USB,,Kingston,DT 101 G2 4GB,573,5.22,272,http://usb.userbenchmark.com/SpeedTest/3101/Kingston-DT-101-G2
USB,,UFD,2.0 Silicon-Power16G 16GB,574,5.21,306,http://usb.userbenchmark.com/SpeedTest/5289/UFD-20-Silicon-Power16G
USB,,LEXAR,JD FIREFLY 4GB,575,5.15,13,http://usb.userbenchmark.com/SpeedTest/5141/LEXAR-JD-FIREFLY
USB,,HP,v125w 2GB,576,5.15,29,http://usb.userbenchmark.com/SpeedTest/5918/HP-v125w
USB,,PNY,USB 2.0 FD 8GB,577,5.14,6,http://usb.userbenchmark.com/SpeedTest/4598/PNY-USB-20-FD
USB,,Verbatim,STORE N GO 64GB,578,5.13,274,http://usb.userbenchmark.com/SpeedTest/7591/Verbatim-STORE-N-GO
USB,DT101G2/4GB,Kingston,DataTraveler 101 G2 USB 2.0 4GB,579,5.1,405,http://usb.userbenchmark.com/SpeedTest/1352/Kingston-DT-101-G2
USB,,USB,FLASH DRIVE 1GB,580,5.09,63,http://usb.userbenchmark.com/SpeedTest/3314/USB-FLASH-DRIVE
USB,,Lexar,JD FireFly 8GB,581,5.06,54,http://usb.userbenchmark.com/SpeedTest/9434/Lexar-JD-FireFly
USB,,Kingston,DataTraveler SE9 8GB,582,5.02,322,http://usb.userbenchmark.com/SpeedTest/2584/Kingston-DataTraveler-SE9
USB,,Lexar,JumpDrive 8GB,583,5,15,http://usb.userbenchmark.com/SpeedTest/3038/Lexar-JumpDrive
USB,,ADATA,USB Flash Drive 4GB,584,4.96,4,http://usb.userbenchmark.com/SpeedTest/13330/ADATA-USB-Flash-Drive
USB,,Flash,Drive SM_USB20 1GB,585,4.95,25,http://usb.userbenchmark.com/SpeedTest/6766/Flash-Drive-SM-USB20
USB,,Kingston,DataTraveler 109 8GB,586,4.94,21,http://usb.userbenchmark.com/SpeedTest/1228/Kingston-DataTraveler-109
USB,,UFD,USB Flash Drive 1GB,587,4.93,7,http://usb.userbenchmark.com/SpeedTest/1755/UFD-USB-Flash-Drive
USB,,Ut163,USB2FlashStorage 2GB,588,4.93,20,http://usb.userbenchmark.com/SpeedTest/6699/Ut163-USB2FlashStorage
USB,,Kingston,DataTraveler G2 4GB,589,4.92,159,http://usb.userbenchmark.com/SpeedTest/1799/Kingston-DataTraveler-G2
USB,,HTC42602,0G7AT00 20GB,590,4.9,4,http://usb.userbenchmark.com/SpeedTest/10847/HTC42602-0G7AT00
USB,,,,591,4.86,14,http://usb.userbenchmark.com/SpeedTest/7002/
USB,,Intenso,Rainbow Line 16GB,592,4.86,117,http://usb.userbenchmark.com/SpeedTest/7359/Intenso-Rainbow-Line
USB,,Kingmax,USB2.0 FlashDisk 4GB,593,4.84,7,http://usb.userbenchmark.com/SpeedTest/12171/Kingmax-USB20-FlashDisk
USB,,JetFlash,TS2GJFV30 2GB,594,4.83,46,http://usb.userbenchmark.com/SpeedTest/10269/JetFlash-TS2GJFV30
USB,,TDK,LoR TF10 8GB,595,4.8,310,http://usb.userbenchmark.com/SpeedTest/10324/TDK-LoR-TF10
USB,,Kingston,DT Micro 8GB,596,4.8,72,http://usb.userbenchmark.com/SpeedTest/3115/Kingston-DT-Micro
USB,,UFD,2.0 Silicon-Power4G 4GB,597,4.74,31,http://usb.userbenchmark.com/SpeedTest/6047/UFD-20-Silicon-Power4G
USB,,Freecom,DATABAR 4GB,598,4.73,10,http://usb.userbenchmark.com/SpeedTest/9462/Freecom-DATABAR
USB,,LEXAR,JD FIREFLY 2GB,599,4.64,24,http://usb.userbenchmark.com/SpeedTest/10782/LEXAR-JD-FIREFLY
USB,,JetFlash,TS4GJFV30 4GB,600,4.6,56,http://usb.userbenchmark.com/SpeedTest/3281/JetFlash-TS4GJFV30
USB,,PNY,USB 2.0 FD 4GB,601,4.58,31,http://usb.userbenchmark.com/SpeedTest/6266/PNY-USB-20-FD
USB,,JetFlash,Transcend 1GB,602,4.55,16,http://usb.userbenchmark.com/SpeedTest/8690/JetFlash-Transcend-1GB
USB,,Chipsbnk,UDisk 16GB,603,4.42,8,http://usb.userbenchmark.com/SpeedTest/1257/Chipsbnk-UDisk
USB,,Verbatim,STORE N GO 2GB,604,4.4,36,http://usb.userbenchmark.com/SpeedTest/8638/Verbatim-STORE-N-GO
USB,,USB,Flash Memory 2GB,605,4.4,127,http://usb.userbenchmark.com/SpeedTest/3137/USB-Flash-Memory
USB,,,,606,4.36,159,http://usb.userbenchmark.com/SpeedTest/7076/
USB,,USB,Flash Memory 1GB,607,4.33,24,http://usb.userbenchmark.com/SpeedTest/6923/USB-Flash-Memory
