Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,Xeon E5-2680 v2,336,44.2,25,http://cpu.userbenchmark.com/SpeedTest/17083/IntelR-XeonR-CPU-E5-2680-v2---280GHz
CPU,,AMD,Phenom II X4 B60,337,44.2,463,http://cpu.userbenchmark.com/SpeedTest/8154/AMD-Phenomtm-II-X4-B60-Processor
CPU,,Intel,Core2 Extreme X9770,338,44,119,http://cpu.userbenchmark.com/SpeedTest/10543/IntelR-CoreTM2-Extreme-CPU-X9770----320GHz
CPU,,Intel,Core i5-4200M,339,43.9,6577,http://cpu.userbenchmark.com/SpeedTest/2341/IntelR-CoreTM-i5-4200M-CPU---250GHz
CPU,,AMD,A10-7700K APU R7 Graphics,340,43.9,2204,http://cpu.userbenchmark.com/SpeedTest/9888/AMD-A10-7700K-APU-with-RadeonTM-R7-Graphics
CPU,,Intel,Pentium G3450,341,43.8,250,http://cpu.userbenchmark.com/SpeedTest/24201/IntelR-PentiumR-CPU-G3450---340GHz
CPU,,Intel,Xeon E7- 4870,342,43.8,15,http://cpu.userbenchmark.com/SpeedTest/8256/IntelR-XeonR-CPU-E7--4870----240GHz
CPU,,Intel,Core i5 661,343,43.8,461,http://cpu.userbenchmark.com/SpeedTest/548/IntelR-CoreTM-i5-CPU---------661----333GHz
CPU,,Intel,Core i5-6200U,344,43.8,24632,http://cpu.userbenchmark.com/SpeedTest/36796/IntelR-CoreTM-i5-6200U-CPU---230GHz
CPU,FD4300WMHKBOX,AMD,FX-4300,345,43.7,11318,http://cpu.userbenchmark.com/AMD-FX-4300/Rating/2879
CPU,AD765KXBJABOX,AMD,A8-7650K APU,346,43.5,2101,http://cpu.userbenchmark.com/SpeedTest/27184/AMD-A8-7650K-Radeon-R7-10-Compute-Cores-4C-6G
CPU,,Intel,Core i5 660,347,43.5,934,http://cpu.userbenchmark.com/SpeedTest/2846/IntelR-CoreTM-i5-CPU---------660----333GHz
CPU,,AMD,A8-7600 APU,348,43.3,5457,http://cpu.userbenchmark.com/SpeedTest/14050/AMD-A8-7600-Radeon-R7-10-Compute-Cores-4C-6G
CPU,,Intel,Core i7-2635QM,349,43.3,124,http://cpu.userbenchmark.com/SpeedTest/12770/IntelR-CoreTM-i7-2635QM-CPU---200GHz
CPU,BX80646G3440,Intel,Pentium G3440,350,43.2,131,http://cpu.userbenchmark.com/Intel-Pentium-G3440/Rating/2435
CPU,,Intel,Pentium G3260,351,43.1,1299,http://cpu.userbenchmark.com/SpeedTest/31434/IntelR-PentiumR-CPU-G3260---330GHz
CPU,,Intel,Xeon E5-2609 0,352,43,100,http://cpu.userbenchmark.com/SpeedTest/2762/IntelR-XeonR-CPU-E5-2609-0---240GHz
CPU,,Intel,Core i7-5500U,353,43,16869,http://cpu.userbenchmark.com/SpeedTest/22316/IntelR-CoreTM-i7-5500U-CPU---240GHz
CPU,,Intel,Core i5 K 655,354,42.9,105,http://cpu.userbenchmark.com/SpeedTest/9077/IntelR-CoreTM-i5-CPU-------K-655----320GHz
CPU,BX80646G3430,Intel,Pentium G3430,355,42.9,63,http://cpu.userbenchmark.com/Intel-Pentium-G3430/Rating/1969
CPU,,AMD,Phenom II X4 850,356,42.8,271,http://cpu.userbenchmark.com/SpeedTest/3577/AMD-Phenomtm-II-X4-850-Processor
CPU,FD6100WMGUSBX,AMD,FX-6100,357,42.8,9165,http://cpu.userbenchmark.com/AMD-FX-6100/Rating/1984
CPU,,AMD,Athlon II X4 555,358,42.8,62,http://cpu.userbenchmark.com/SpeedTest/12528/AMD-Athlontm-II-X4-555-Processor
CPU,,AMD,A8-6500 APU,359,42.7,1552,http://cpu.userbenchmark.com/SpeedTest/5272/AMD-A8-6500-APU-with-Radeontm-HD-Graphics
CPU,FF8062700837005,Intel,Core i7-2630QM,360,42.6,10272,http://cpu.userbenchmark.com/Intel-Core-i7-2630QM/Rating/2729
CPU,,Intel,Xeon E5530,361,42.6,134,http://cpu.userbenchmark.com/SpeedTest/4018/IntelR-XeonR-CPU-----------E5530----240GHz
CPU,BX80677G3950,Intel,Celeron G3950,362,42.6,11,http://cpu.userbenchmark.com/SpeedTest/242877/IntelR-CeleronR-CPU-G3950---300GHz
CPU,,Intel,Xeon X5460,363,42.6,1851,http://cpu.userbenchmark.com/SpeedTest/5754/IntelR-XeonR-CPU-----------X5460----316GHz
CPU,,Intel,Core i5-5300U,364,42.6,3183,http://cpu.userbenchmark.com/SpeedTest/16790/IntelR-CoreTM-i5-5300U-CPU---230GHz
CPU,,Intel,Core i5-3320M,365,42.4,6472,http://cpu.userbenchmark.com/SpeedTest/402/IntelR-CoreTM-i5-3320M-CPU---260GHz
CPU,,Intel,Xeon E5620,366,42.4,550,http://cpu.userbenchmark.com/SpeedTest/6971/IntelR-XeonR-CPU-----------E5620----240GHz
CPU,HDT55TFBGRBOX,AMD,Phenom II X6 1055T,367,42.4,4931,http://cpu.userbenchmark.com/AMD-Phenom-II-X6-1055T/Rating/2003
CPU,,Intel,Core i5-7Y54,368,42.4,115,http://cpu.userbenchmark.com/SpeedTest/193628/IntelR-CoreTM-i5-7Y54-CPU---120GHz
CPU,,Intel,Core i7-2675QM,369,42.4,321,http://cpu.userbenchmark.com/SpeedTest/597/IntelR-CoreTM-i7-2675QM-CPU---220GHz
CPU,,Intel,Core i3-2100,370,42.3,9919,http://cpu.userbenchmark.com/SpeedTest/41/IntelR-CoreTM-i3-2100-CPU---310GHz
CPU,HDZ955FBGMBOX,AMD,Phenom II X4 955,371,42.2,11775,http://cpu.userbenchmark.com/AMD-Phenom-II-X4-955/Rating/2935
CPU,AD750KWOHJBOX,AMD,Athlon II X4 750K,372,42.2,1504,http://cpu.userbenchmark.com/AMD-Athlon-II-X4-750K/Rating/1548
CPU,,Intel,Core i7-2640M,373,42.1,2983,http://cpu.userbenchmark.com/SpeedTest/791/IntelR-CoreTM-i7-2640M-CPU---280GHz
CPU,,AMD,Phenom II X4 B55,374,42,945,http://cpu.userbenchmark.com/SpeedTest/878/AMD-Phenomtm-II-X4-B55-Processor
CPU,,Intel,Xeon E5-2670 v2,375,41.8,64,http://cpu.userbenchmark.com/SpeedTest/18414/IntelR-XeonR-CPU-E5-2670-v2---250GHz
CPU,,Intel,Core i7-4600U,376,41.8,3870,http://cpu.userbenchmark.com/SpeedTest/2752/IntelR-CoreTM-i7-4600U-CPU---210GHz
CPU,,Intel,Core i3-2105,377,41.7,214,http://cpu.userbenchmark.com/SpeedTest/2747/IntelR-CoreTM-i3-2105-CPU---310GHz
CPU,,Intel,Core i7-4510U,378,41.6,13305,http://cpu.userbenchmark.com/SpeedTest/10660/IntelR-CoreTM-i7-4510U-CPU---200GHz
CPU,,AMD,A8-5600K APU,379,41.6,3416,http://cpu.userbenchmark.com/SpeedTest/1766/AMD-A8-5600K-APU-with-Radeontm-HD-Graphics
CPU,BX80677G3930,Intel,Celeron G3930,380,41.5,206,http://cpu.userbenchmark.com/SpeedTest/235058/IntelR-CeleronR-CPU-G3930---290GHz
CPU,BX80646G3420,Intel,Pentium G3420,381,41.4,805,http://cpu.userbenchmark.com/Intel-Pentium-G3420/Rating/1968
CPU,,Intel,Core i5-4258U,382,41.4,334,http://cpu.userbenchmark.com/SpeedTest/5904/IntelR-CoreTM-i5-4258U-CPU---240GHz
CPU,,Intel,Core2 Extreme X9650,383,41.3,562,http://cpu.userbenchmark.com/SpeedTest/2662/IntelR-CoreTM2-Extreme-CPU-X9650----300GHz
CPU,,Intel,Core i5 650,384,41.3,7031,http://cpu.userbenchmark.com/SpeedTest/340/IntelR-CoreTM-i5-CPU---------650----320GHz
CPU,,AMD,FX-4130 Quad-Core,385,41.3,2429,http://cpu.userbenchmark.com/SpeedTest/2420/AMD-FXtm-4130-Quad-Core-Processor
CPU,AW8063801208001,Intel,Core i5-3230M,386,41.3,12994,http://cpu.userbenchmark.com/Intel-Core-i5-3230M/Rating/2772
CPU,,AMD,Phenom II X4 840,387,41.2,1375,http://cpu.userbenchmark.com/SpeedTest/3302/AMD-Phenomtm-II-X4-840-Processor
CPU,,Intel,Xeon E5450,388,41.2,2584,http://cpu.userbenchmark.com/SpeedTest/5890/IntelR-XeonR-CPU-----------E5450----300GHz
CPU,,AMD,Phenom II X4 B50,389,41.1,975,http://cpu.userbenchmark.com/SpeedTest/5205/AMD-Phenomtm-II-X4-B50-Processor
CPU,,AMD,Phenom II X4 960T,390,41.1,1262,http://cpu.userbenchmark.com/SpeedTest/1813/AMD-Phenomtm-II-X4-960T-Processor
CPU,,Intel,Core i7-3687U,391,41,544,http://cpu.userbenchmark.com/SpeedTest/2934/IntelR-CoreTM-i7-3687U-CPU---210GHz
CPU,,Intel,Pentium G3250,392,41,1698,http://cpu.userbenchmark.com/SpeedTest/18077/IntelR-PentiumR-CPU-G3250---320GHz
CPU,,Intel,Core i7-4650U,393,41,981,http://cpu.userbenchmark.com/SpeedTest/6364/IntelR-CoreTM-i7-4650U-CPU---170GHz
CPU,,AMD,Phenom II X4 B40,394,40.8,161,http://cpu.userbenchmark.com/SpeedTest/9803/AMD-Phenomtm-II-X4-B40-Processor
CPU,AD5700OKHJBOX,AMD,A10-5700 APU,395,40.8,1242,http://cpu.userbenchmark.com/AMD-A10-5700-APU/Rating/2939
CPU,,Intel,Core i7-2620M,396,40.5,3463,http://cpu.userbenchmark.com/SpeedTest/643/IntelR-CoreTM-i7-2620M-CPU---270GHz
CPU,,AMD,A8-3870 APU,397,40.4,1182,http://cpu.userbenchmark.com/SpeedTest/3870/AMD-A8-3870-APU-with-Radeontm-HD-Graphics
CPU,,AMD,FX-4100,398,40.3,8077,http://cpu.userbenchmark.com/AMD-FX-4100/Rating/2878
CPU,,Intel,Core i5-2540M,399,40.3,3301,http://cpu.userbenchmark.com/SpeedTest/1616/IntelR-CoreTM-i5-2540M-CPU---260GHz
CPU,,AMD,Phenom II X6 1045T,400,40.2,1450,http://cpu.userbenchmark.com/SpeedTest/1873/AMD-Phenomtm-II-X6-1045T-Processor
CPU,,Intel,Core i3-3220T,401,40.2,327,http://cpu.userbenchmark.com/SpeedTest/2602/IntelR-CoreTM-i3-3220T-CPU---280GHz
CPU,,AMD,Phenom II X4 20,402,40.1,239,http://cpu.userbenchmark.com/SpeedTest/4534/AMD-Phenomtm-II-X4-20-Processor
CPU,,Intel,Xeon E5520,403,40.1,275,http://cpu.userbenchmark.com/SpeedTest/5884/IntelR-XeonR-CPU-----------E5520----227GHz
CPU,,Intel,Core i3 550,404,40.1,3364,http://cpu.userbenchmark.com/SpeedTest/632/IntelR-CoreTM-i3-CPU---------550----320GHz
CPU,,Intel,Core2 Quad Q9650,405,40,2373,http://cpu.userbenchmark.com/SpeedTest/1706/IntelR-CoreTM2-Quad-CPU----Q9650----300GHz
CPU,BX80646G3240 ,Intel,Pentium G3240,406,40,1838,http://cpu.userbenchmark.com/Intel-Pentium-G3240/Rating/2820
CPU,BX80662G3900,Intel,Celeron G3900,407,40,603,http://cpu.userbenchmark.com/SpeedTest/86156/IntelR-CeleronR-CPU-G3900---280GHz
CPU,,AMD,Athlon II X4 651,408,39.9,205,http://cpu.userbenchmark.com/SpeedTest/3526/AMD-Athlontm-II-X4-651-Quad-Core-Processor
CPU,,Intel,Pentium G2130,409,39.9,325,http://cpu.userbenchmark.com/SpeedTest/9126/IntelR-PentiumR-CPU-G2130---320GHz
CPU,,Intel,Core i3-7100U,410,39.9,1872,http://cpu.userbenchmark.com/SpeedTest/176913/IntelR-CoreTM-i3-7100U-CPU---240GHz
CPU,,AMD,Phenom II X4 B45,411,39.9,376,http://cpu.userbenchmark.com/SpeedTest/4111/AMD-Phenomtm-II-X4-B45-Processor
CPU,,Intel,Xeon X5450,412,39.8,881,http://cpu.userbenchmark.com/SpeedTest/5169/IntelR-XeonR-CPU-----------X5450----300GHz
CPU,AW8063801032301,Intel,Core i5-3210M,413,39.8,17960,http://cpu.userbenchmark.com/Intel-Core-i5-3210M/Rating/2719
CPU,,Intel,Core i7-4500U,414,39.8,9447,http://cpu.userbenchmark.com/Intel-Core-i7-4500U/Rating/2743
CPU,,AMD,Athlon II X4 645,415,39.7,1069,http://cpu.userbenchmark.com/SpeedTest/2408/AMD-Athlontm-II-X4-645-Processor
CPU,,AMD,Phenom II X4 840T,416,39.5,258,http://cpu.userbenchmark.com/SpeedTest/8545/AMD-Phenomtm-II-X4-840T-Processor
CPU,,Intel,Core X 920,417,39.5,28,http://cpu.userbenchmark.com/SpeedTest/7179/IntelR-CoreTM-CPU----------X-920----200GHz
CPU,,AMD,Phenom II X4 940,418,39.5,1091,http://cpu.userbenchmark.com/SpeedTest/2203/AMD-Phenomtm-II-X4-940-Processor
CPU,,Intel,Xeon E5507,419,39.4,51,http://cpu.userbenchmark.com/SpeedTest/13794/IntelR-XeonR-CPU-----------E5507----227GHz
CPU,,AMD,Phenom II X6 1035T,420,39.4,559,http://cpu.userbenchmark.com/SpeedTest/1603/AMD-Phenomtm-II-X6-1035T-Processor
CPU,,Intel,Core i7 X 940,421,39.4,152,http://cpu.userbenchmark.com/SpeedTest/2801/IntelR-CoreTM-i7-CPU-------X-940----213GHz
CPU,,AMD,A8-3850 APU,422,39.3,718,http://cpu.userbenchmark.com/SpeedTest/4311/AMD-A8-3850-APU-with-Radeontm-HD-Graphics
CPU,,AMD,Athlon II X4 740K,423,39.3,712,http://cpu.userbenchmark.com/SpeedTest/4559/AMD-Athlontm-X4-740-Quad-Core-Processor
CPU,,AMD,Phenom II X4 945,424,39.2,3376,http://cpu.userbenchmark.com/SpeedTest/101/AMD-Phenomtm-II-X4-945-Processor
CPU,,Intel,Xeon L5520,425,39.2,50,http://cpu.userbenchmark.com/SpeedTest/6285/IntelR-XeonR-CPU-----------L5520----227GHz
CPU,,Intel,Core i5-4310U,426,39.1,1498,http://cpu.userbenchmark.com/SpeedTest/12941/IntelR-CoreTM-i5-4310U-CPU---200GHz
CPU,,Intel,Core i5-5250U,427,39.1,901,http://cpu.userbenchmark.com/SpeedTest/24945/IntelR-CoreTM-i5-5250U-CPU---160GHz
CPU,,Intel,Core i5-2520M,428,39,9683,http://cpu.userbenchmark.com/SpeedTest/29/IntelR-CoreTM-i5-2520M-CPU---250GHz
CPU,,Intel,Core m3-7Y30,429,39,199,http://cpu.userbenchmark.com/SpeedTest/196956/IntelR-CoreTM-m3-7Y30-CPU---100GHz
CPU,,Intel,Core i5-5200U,430,38.9,21208,http://cpu.userbenchmark.com/SpeedTest/22169/IntelR-CoreTM-i5-5200U-CPU---220GHz
CPU,,AMD,Athlon II X4 640,431,38.8,4526,http://cpu.userbenchmark.com/SpeedTest/225/AMD-Athlontm-II-X4-640-Processor
CPU,,Intel,Xeon E5472,432,38.8,211,http://cpu.userbenchmark.com/SpeedTest/20269/IntelR-XeonR-CPU-----------E5472----300GHz
CPU,,Intel,Core i7-7Y75,433,38.6,214,http://cpu.userbenchmark.com/SpeedTest/211988/IntelR-CoreTM-i7-7Y75-CPU---130GHz
CPU,AD5500OKHJBOX,AMD,A8-5500 APU,434,38.6,1933,http://cpu.userbenchmark.com/SpeedTest/3432/AMD-A8-5500-APU-with-Radeontm-HD-Graphics
CPU,,Intel,Core i7-3667U,435,38.6,694,http://cpu.userbenchmark.com/SpeedTest/2815/IntelR-CoreTM-i7-3667U-CPU---200GHz
CPU,,Intel,Core i5-4300U,436,38.5,5268,http://cpu.userbenchmark.com/SpeedTest/4996/IntelR-CoreTM-i5-4300U-CPU---190GHz
CPU,BX80646G3220,Intel,Pentium G3220,437,38.3,3508,http://cpu.userbenchmark.com/Intel-Pentium-G3220/Rating/1967
CPU,,Intel,Core i3 540,438,38.3,4414,http://cpu.userbenchmark.com/SpeedTest/2936/IntelR-CoreTM-i3-CPU---------540----307GHz
CPU,,AMD,Athlon II X4 641,439,38.2,201,http://cpu.userbenchmark.com/SpeedTest/1698/AMD-Athlontm-II-X4-641-Quad-Core-Processor
CPU,,Intel,Core i7 X 920,440,37.9,238,http://cpu.userbenchmark.com/SpeedTest/4179/IntelR-CoreTM-i7-CPU-------X-920----200GHz
CPU,,AMD,Phenom II X4 920,441,37.8,318,http://cpu.userbenchmark.com/SpeedTest/1945/AMD-Phenomtm-II-X4-920-Processor
CPU,,Intel,Core2 Quad Q9550,442,37.8,8765,http://cpu.userbenchmark.com/SpeedTest/334/IntelR-CoreTM2-Quad-CPU----Q9550----283GHz
CPU,,AMD,A6-3670 APU,443,37.7,514,http://cpu.userbenchmark.com/SpeedTest/4657/AMD-A6-3670-APU-with-Radeontm-HD-Graphics
CPU,,Intel,Pentium G2120,444,37.7,335,http://cpu.userbenchmark.com/SpeedTest/448/IntelR-PentiumR-CPU-G2120---310GHz
CPU,,Intel,Core i7-3537U,445,37.7,3425,http://cpu.userbenchmark.com/SpeedTest/504/IntelR-CoreTM-i7-3537U-CPU---200GHz
CPU,,Intel,Core i3-6100U,446,37.7,3931,http://cpu.userbenchmark.com/SpeedTest/37381/IntelR-CoreTM-i3-6100U-CPU---230GHz
CPU,,Intel,Core2 Quad Q9505,447,37.4,321,http://cpu.userbenchmark.com/SpeedTest/3041/IntelR-CoreTM2-Quad-CPU----Q9505----283GHz
CPU,,Intel,Core2 Quad Q9500,448,37.4,369,http://cpu.userbenchmark.com/SpeedTest/1778/IntelR-CoreTM2-Quad-CPU----Q9500----283GHz
CPU,,Intel,Core i7-4550U,449,37.4,80,http://cpu.userbenchmark.com/SpeedTest/6199/IntelR-CoreTM-i7-4550U-CPU---150GHz
CPU,,AMD,Athlon II X4 635,450,37.3,1239,http://cpu.userbenchmark.com/SpeedTest/3369/AMD-Athlontm-II-X4-635-Processor
CPU,,Intel,Core m5-6Y54,451,37,327,http://cpu.userbenchmark.com/SpeedTest/40602/IntelR-CoreTM-m5-6Y54-CPU---110GHz
CPU,,Intel,Xeon E5506,452,37,172,http://cpu.userbenchmark.com/SpeedTest/11152/IntelR-XeonR-CPU-----------E5506----213GHz
CPU,,AMD,Phenom II X4 830,453,36.9,309,http://cpu.userbenchmark.com/SpeedTest/2164/AMD-Phenomtm-II-X4-830-Processor
CPU,,AMD,Phenom II X4 925,454,36.9,1230,http://cpu.userbenchmark.com/SpeedTest/2581/AMD-Phenomtm-II-X4-925-Processor
