Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,,Hitachi,HDS721050CLA362 500GB,189,59.7,7506,http://hdd.userbenchmark.com/SpeedTest/2062/Hitachi-HDS721050CLA362
HDD,,WD,WD5000AUDX-63WNHY0 500GB,190,59.6,342,http://hdd.userbenchmark.com/SpeedTest/1793/WDC-WD5000AUDX-63WNHY0
HDD,,WD,WD3000BLFS-08YBU0 300GB,191,59.6,187,http://hdd.userbenchmark.com/SpeedTest/4420/WDC-WD3000BLFS-08YBU0
HDD,ST2000DL003,Seagate,Barracuda Green 2TB,192,59.4,16157,http://hdd.userbenchmark.com/SpeedTest/979/ST2000DL003-9VT166
HDD,,,WL1000GSA6472R 1TB,193,59.3,6,http://hdd.userbenchmark.com/SpeedTest/7128/WL1000GSA6472R
HDD,WD10EALX,WD,Blue 1TB (2010),194,59.3,9797,http://hdd.userbenchmark.com/WD-Blue-1TB-2010/Rating/2023
HDD,ST5000DM000,Seagate,Barracuda Desktop 5TB,195,59.3,473,http://hdd.userbenchmark.com/SpeedTest/17358/ST5000DM000-1FK178
HDD,,WD,WD5002AALX-00J37A0 500GB,196,59.2,2661,http://hdd.userbenchmark.com/SpeedTest/3694/WDC-WD5002AALX-00J37A0
HDD,,Seagate,ST3500514NS 500GB,197,59.2,229,http://hdd.userbenchmark.com/SpeedTest/6066/ST3500514NS
HDD,ST500DM002,Seagate,Barracuda 7200.14 500GB,198,59.1,63770,http://hdd.userbenchmark.com/SpeedTest/712/ST500DM002-1BD142
HDD,,Hitachi,HDS721010CLA 1TB,199,59,466,http://hdd.userbenchmark.com/SpeedTest/1227/Hitachi-HDS721010CLA
HDD,,Seagate,ST32000641AS 2TB,200,59,1806,http://hdd.userbenchmark.com/SpeedTest/1130/ST32000641AS
HDD,,Seagate,ST2000LM003 HN-M201RAD 2TB,201,58.9,8878,http://hdd.userbenchmark.com/SpeedTest/12558/ST2000LM003-HN-M201RAD
HDD,WD10EALS,WD,Blue 1TB (2010),202,58.9,2467,http://hdd.userbenchmark.com/WD-Blue-1TB-2010/Rating/1780
HDD,,Hitachi,HDS5C4040ALE630 4TB,203,58.8,199,http://hdd.userbenchmark.com/SpeedTest/2257/Hitachi-HDS5C4040ALE630
HDD,,Samsung,HD155UI 1.5TB,204,58.5,350,http://hdd.userbenchmark.com/SpeedTest/6951/SAMSUNG-HD155UI
HDD,,Hitachi,HDS721025CLA382 250GB,205,58.3,1071,http://hdd.userbenchmark.com/SpeedTest/6106/Hitachi-HDS721025CLA382
HDD,,Hitachi,HTS725050A7E630 500GB,206,58.3,9403,http://hdd.userbenchmark.com/SpeedTest/386/HGST-HTS725050A7E630
HDD,ST250DM000,Seagate,Barracuda 7200.14 250GB,207,58.2,3872,http://hdd.userbenchmark.com/SpeedTest/3265/ST250DM000-1BD141
HDD,ST1000DL002,Seagate,Barracuda Green 1TB,208,58.2,2747,http://hdd.userbenchmark.com/SpeedTest/1672/ST1000DL002-9TT153
HDD,WD2500AAKX,WD,Blue 250GB (2010),209,58.2,6845,http://hdd.userbenchmark.com/SpeedTest/53/WDC-WD2500AAKX-753CA1
