Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,PX-AG512M6e,Plextor,M6e PCIe 512GB,52,114,44,http://ssd.userbenchmark.com/SpeedTest/14616/PLEXTOR-PX-AG512M6e
SSD,ASX8000NP-128GM-C,Adata,SX8000 NVMe PCIe M.2 128GB,53,113,17,http://ssd.userbenchmark.com/SpeedTest/214181/NVMe-ADATA-SX8000NP
SSD,PX-G256M6e,Plextor,M6e  PCIe M.2 256GB,54,108,455,http://ssd.userbenchmark.com/SpeedTest/12059/PLEXTOR-PX-G256M6e
SSD,MZHPU128HCGM,Samsung,XP941 PCIe M.2 128GB,55,102,326,http://ssd.userbenchmark.com/SpeedTest/6251/SAMSUNG-MZHPU128HCGM-00000
SSD,MZ-7KE1T0BW,Samsung,850 Pro 1TB,56,102,3954,http://ssd.userbenchmark.com/Samsung-850-Pro-1TB/Rating/3577
SSD,MZ-7KE512BW,Samsung,850 Pro 512GB,57,100,12573,http://ssd.userbenchmark.com/Samsung-850-Pro-512GB/Rating/3478
SSD,,Samsung,MZFLV256 NVMe PCIe M.2 256GB,58,100,2051,http://ssd.userbenchmark.com/SpeedTest/37597/NVMe-SAMSUNG-MZFLV256
SSD,MZ-7KE256BW,Samsung,850 Pro 256GB,59,100,26190,http://ssd.userbenchmark.com/Samsung-850-Pro-256GB/Rating/2385
SSD,IT3RSK41MT300-0200,OCZ,Intrepid 3600 200GB,60,99.5,2,http://ssd.userbenchmark.com/SpeedTest/36692/OCZ-INTREPID-3600
SSD,MZ-7KE2T0BW,Samsung,850 Pro 2TB,61,98.1,311,http://ssd.userbenchmark.com/SpeedTest/38860/Samsung-SSD-850-PRO-2TB
SSD,VTR180-25SAT3-960G,Toshiba,OCZ VT180 960GB,62,98.1,19,http://ssd.userbenchmark.com/SpeedTest/171904/TOSHIBA-VT180
SSD,MZ-75E1T0B,Samsung,850 Evo 1TB,63,97.1,21622,http://ssd.userbenchmark.com/Samsung-850-Evo-1TB/Rating/3576
SSD,SSDPEKKW128G7X1,Intel,600p Series NVMe PCIe M.2 128GB,64,96.9,1387,http://ssd.userbenchmark.com/SpeedTest/170119/INTEL-SSDPEKKW128G7
SSD,MZ-75E500B,Samsung,850 Evo 500GB,65,96.3,106360,http://ssd.userbenchmark.com/Samsung-850-Evo-500GB/Rating/3477
SSD,SSDSC2BP480G410,Intel,730 Series 480GB,66,94.7,1134,http://ssd.userbenchmark.com/Intel-730-Series-480GB/Rating/3479
SSD,VTR1-25SAT3-256G,OCZ,Vector 256GB,67,94.2,597,http://ssd.userbenchmark.com/OCZ-Vector-256GB/Rating/1424
SSD,MZ-75E250B,Samsung,850 Evo 250GB,68,94.1,162619,http://ssd.userbenchmark.com/Samsung-850-Evo-250GB/Rating/2977
SSD,VTR180-25SAT3-960G,OCZ,Vector 180 960GB,69,93.8,109,http://ssd.userbenchmark.com/SpeedTest/30972/OCZ-VECTOR180
SSD,PX-512M6Pro,Plextor,M6 Pro 512GB,70,93.7,44,http://ssd.userbenchmark.com/SpeedTest/15117/PLEXTOR-PX-512M6Pro
SSD,MZ-75E2T0B,Samsung,850 Evo 2TB,71,93.4,835,http://ssd.userbenchmark.com/SpeedTest/32539/Samsung-SSD-850-EVO-2TB
SSD,MZ-75E120B,Samsung,850 Evo 120GB,72,93,24584,http://ssd.userbenchmark.com/Samsung-850-Evo-120GB/Rating/3484
SSD,MZ-7KE128BW,Samsung,850 Pro 128GB,73,92.6,5491,http://ssd.userbenchmark.com/Samsung-850-Pro-128GB/Rating/3483
SSD,SSDSC2KW480H6,Intel,540s Series 480GB,74,91.7,580,http://ssd.userbenchmark.com/SpeedTest/128513/INTEL-SSDSC2KW480H6
SSD,CT256M550SSD1,Crucial,M550 256GB,75,91.6,2864,http://ssd.userbenchmark.com/Crucial-M550-256GB/Rating/2000
SSD,RVD3X2-FHPX4-480G,OCZ,RevoDrive 3 X2 PCIe 480GB,76,91.5,88,http://ssd.userbenchmark.com/SpeedTest/8804/OCZ-REVODRIVE3-X2
SSD,CT512M550SSD1,Crucial,M550 512GB,77,91.5,1328,http://ssd.userbenchmark.com/SpeedTest/7172/Crucial-CT512M550SSD1
SSD,CT256M550SSD4,Crucial,M550 SATA M.2 256GB,78,91.2,38,http://ssd.userbenchmark.com/SpeedTest/12143/Crucial-CT256M550SSD4
SSD,CT1024M550SSD1,Crucial,M550 1TB,79,90.6,375,http://ssd.userbenchmark.com/SpeedTest/7108/Crucial-CT1024M550SSD1
SSD,VTX460A-25SAT3-480G,OCZ,Vertex 460A 480GB,80,90.6,112,http://ssd.userbenchmark.com/SpeedTest/21677/OCZ-VERTEX460A
SSD,SB1CSK31MT560-0240,OCZ,Saber 1000 240GB,81,90.5,51,http://ssd.userbenchmark.com/SpeedTest/36693/OCZ-SABER1000
SSD,VTR1-25SAT3-512G,OCZ,Vector 512GB,82,90.4,102,http://ssd.userbenchmark.com/SpeedTest/1810/OCZ-VECTOR
SSD,VTR150-25SAT3-480G,OCZ,Vector 150 480GB,83,90.4,135,http://ssd.userbenchmark.com/SpeedTest/7037/OCZ-VECTOR150
SSD,VTR180-25SAT3-480G,OCZ,Vector 180 480GB,84,90.2,308,http://ssd.userbenchmark.com/OCZ-Vector-180-480GB/Rating/3508
SSD,CT500BX100SSD1,Crucial,BX100 500GB,85,89.9,2154,http://ssd.userbenchmark.com/Crucial-BX100-500GB/Rating/3474
SSD,VTR150-25SAT3-240G,OCZ,Vector 150 240GB,86,89.8,632,http://ssd.userbenchmark.com/OCZ-Vector-150-240GB/Rating/1748
SSD,SDSSDXPS-480G-G25,SanDisk,Extreme Pro 480GB,87,89.7,1784,http://ssd.userbenchmark.com/SanDisk-Extreme-Pro-480GB/Rating/3476
SSD,PX-G128M6e,Plextor,M6e PCIe M.2 128GB,88,89.6,291,http://ssd.userbenchmark.com/SpeedTest/15095/PLEXTOR-PX-G128M6e
SSD,PX-512M6S,Plextor,M6S 512GB,89,89.6,30,http://ssd.userbenchmark.com/Plextor-M6S-512GB/Rating/3506
SSD,CT512M550SSD4,Crucial,M550 SATA M.2 512GB,90,89.5,49,http://ssd.userbenchmark.com/SpeedTest/15375/Crucial-CT512M550SSD4
SSD,RADEON-R7SSD-480G,OCZ,AMD Radeon R7 480GB,91,89.1,272,http://ssd.userbenchmark.com/OCZ-AMD-Radeon-R7-480GB/Rating/3507
SSD,CT1000BX100SSD1,Crucial,BX100 1TB,92,88.9,279,http://ssd.userbenchmark.com/SpeedTest/22670/CT1000BX100SSD1
SSD,CT512MX100SSD1,Crucial,MX100 512GB,93,88.9,7675,http://ssd.userbenchmark.com/Crucial-MX100-512GB/Rating/3475
SSD,MKNSSDRE512GB,Mushkin,Reactor 512GB,94,88.9,259,http://ssd.userbenchmark.com/Mushkin-Reactor-512GB/Rating/3584
SSD,PX-256M6Pro,Plextor,M6 Pro 256GB,95,88.8,199,http://ssd.userbenchmark.com/SpeedTest/14560/PLEXTOR-PX-256M6Pro
SSD,VTX4-25SAT3-512G,OCZ,Vertex 4 512GB,96,88.6,389,http://ssd.userbenchmark.com/SpeedTest/4340/OCZ-VERTEX4
SSD,VTR180-25SAT3-480G,Toshiba,OCZ VT180 480GB,97,88.6,20,http://ssd.userbenchmark.com/SpeedTest/146334/TOSHIBA-VT180
SSD,SSDSC2KW010X6,Intel,540s Series 1TB,98,88.5,242,http://ssd.userbenchmark.com/SpeedTest/123180/INTEL-SSDSC2KW010X6
SSD,CT256M550SSD3,Crucial,M550 mSATA 256GB,99,88.4,296,http://ssd.userbenchmark.com/SpeedTest/8589/Crucial-CT256M550SSD3
SSD,SDSSDXPS-960G-G25,SanDisk,Extreme Pro 960GB,100,88.4,501,http://ssd.userbenchmark.com/SanDisk-Extreme-Pro-960GB/Rating/3581
SSD,ASP610SS3-1TM-C,Adata,Premier SP610 1TB,101,88.1,43,http://ssd.userbenchmark.com/SpeedTest/19263/ADATA-SP610
SSD,CSSD-F512GBLX,Corsair,Force LX 512GB,102,87.6,119,http://ssd.userbenchmark.com/SpeedTest/16265/CORSAIR-FORCE-LX-SSD
